iter	Passed	Remaining
0	707	707145
1	1647	822158
2	2021	671917
3	2415	601566
4	2807	558643
5	3136	519558
6	3431	486763
7	3900	483620
8	4153	457395
9	4442	439771
10	4737	425947
11	5036	414710
12	5305	402812
13	5573	392514
14	5857	384667
15	6109	375725
16	6403	370260
17	6669	363852
18	6969	359846
19	7238	354707
20	7526	350868
21	7781	345944
22	8057	342280
23	8398	341546
24	8664	337902
25	8900	333438
26	9113	328440
27	9312	323262
28	9565	320288
29	9804	317006
30	10043	313950
31	10310	311898
32	10648	312042
33	10979	311944
34	11293	311372
35	11625	311305
36	11960	311283
37	12210	309110
38	12497	307962
39	12821	307718
40	13091	306214
41	13353	304593
42	13641	303607
43	13888	301769
44	14155	300411
45	14430	299269
46	14700	298086
47	14977	297053
48	15251	296005
49	15497	294446
50	15989	297526
51	16211	295549
52	16486	294582
53	16713	292795
54	16975	291665
55	17227	290412
56	17499	289510
57	17751	288311
58	18046	287818
59	18291	286565
60	18540	285408
61	18816	284671
62	19079	283775
63	19325	282631
64	19569	281495
65	19834	280690
66	20128	280293
67	20357	279018
68	20613	278139
69	20937	278169
70	21158	276851
71	21391	275711
72	21632	274698
73	21875	273743
74	22122	272840
75	22359	271848
76	22622	271173
77	22870	270336
78	23101	269317
79	23361	268660
80	23643	268247
81	23869	267224
82	24118	266465
83	24390	265973
84	24610	264921
85	24861	264223
86	25117	263588
87	25404	263285
88	25676	262824
89	25923	262116
90	26185	261563
91	26492	261465
92	26743	260825
93	26974	259991
94	27220	259314
95	27460	258583
96	27691	257789
97	27962	257367
98	28211	256756
99	28505	256548
100	28713	255578
101	29050	255754
102	29327	255403
103	29538	254482
104	29793	253957
105	30490	257156
106	31356	261694
107	31583	260855
108	31811	260039
109	32056	259364
110	32378	259323
111	32937	261144
112	33184	260480
113	33473	260150
114	33680	259192
115	33921	258501
116	34196	258080
117	34415	257237
118	34636	256429
119	34854	255596
120	35084	254871
121	35293	253997
122	35503	253144
123	35734	252448
124	35957	251703
125	36221	251253
126	36440	250494
127	36665	249786
128	36856	248855
129	37075	248121
130	39141	259649
131	39447	259398
132	39861	259851
133	40220	259932
134	40562	259903
135	41011	260546
136	41691	262627
137	41969	262156
138	42278	261884
139	42521	261201
140	42797	260730
141	43063	260198
142	43441	260342
143	43771	260197
144	44016	259546
145	44317	259227
146	44632	258991
147	45009	259110
148	45335	258931
149	45651	258692
150	45956	258393
151	46212	257819
152	46481	257318
153	46830	257261
154	47302	257873
155	47636	257723
156	47916	257285
157	48178	256749
158	48450	256272
159	48686	255602
160	48937	255020
161	49212	254565
162	49384	253590
163	49596	252823
164	49814	252093
165	50035	251382
166	50317	250982
167	50513	250162
168	50742	249510
169	50999	248996
170	51260	248507
171	51512	247976
172	51767	247464
173	52015	246923
174	52292	246522
175	52550	246032
176	52775	245389
177	53077	245111
178	53333	244617
179	53610	244227
180	54002	244351
181	54256	243856
182	54524	243424
183	54819	243113
184	55152	242970
185	55470	242758
186	55777	242496
187	56034	242022
188	56549	242653
189	56810	242192
190	57078	241763
